project_type,location_tier,total_area_sqft,num_floors,structure_type,material_quality,num_workers,site_condition,cost_inr,duration_days
Commercial,Tier2,45759,5,RCC,Premium,83,Difficult,195432000.0,1120.0
Residential,Tier2,29033,1,Load Bearing,Standard,67,Moderate,56323000.0,649.0
Infrastructure,Tier1,1909,17,RCC,Standard,71,Easy,7039000.0,60.0
Residential,Tier1,47327,7,RCC,Premium,94,Easy,264456000.0,842.0
Commercial,Tier2,24469,6,Load Bearing,Premium,188,Easy,81698000.0,237.0
Commercial,Tier3,25737,16,RCC,Premium,109,Easy,101854000.0,541.0
Infrastructure,Tier2,18790,11,Prefabricated,Basic,139,Easy,37259000.0,233.0
Residential,Tier1,15643,11,Steel Frame,Standard,73,Easy,66962000.0,346.0
Commercial,Tier1,25443,1,Load Bearing,Premium,38,Difficult,124981000.0,1067.0
Infrastructure,Tier3,44655,12,Prefabricated,Standard,62,Moderate,119911000.0,1301.0
Industrial,Tier3,12291,7,Load Bearing,Premium,20,Moderate,36893000.0,1312.0
Residential,Tier3,23608,19,RCC,Premium,127,Moderate,100058000.0,468.0
Industrial,Tier3,36130,8,Load Bearing,Standard,136,Easy,63774000.0,535.0
Residential,Tier3,27330,17,Steel Frame,Premium,64,Easy,114970000.0,952.0
Industrial,Tier2,26974,12,Prefabricated,Premium,191,Difficult,146928000.0,295.0
Residential,Tier1,29175,5,Prefabricated,Premium,116,Easy,149130000.0,360.0
Infrastructure,Tier2,34774,16,Load Bearing,Premium,50,Difficult,174031000.0,1500.0
Commercial,Tier2,25343,17,Load Bearing,Basic,29,Easy,47248000.0,1500.0
Commercial,Tier2,27952,9,RCC,Basic,193,Easy,53332000.0,282.0
Residential,Tier3,39414,2,Prefabricated,Basic,172,Moderate,58740000.0,295.0
Residential,Tier3,43322,3,Prefabricated,Premium,43,Moderate,149665000.0,1392.0
Industrial,Tier3,46564,16,Load Bearing,Premium,175,Easy,149251000.0,670.0
Commercial,Tier3,6747,19,RCC,Premium,126,Easy,25153000.0,134.0
Infrastructure,Tier3,36877,6,Load Bearing,Premium,72,Easy,108777000.0,854.0
Infrastructure,Tier3,29816,4,RCC,Basic,9,Difficult,41585000.0,1500.0
Industrial,Tier1,2302,4,Steel Frame,Premium,158,Easy,13102000.0,30.0
Infrastructure,Tier3,49399,5,Steel Frame,Premium,70,Easy,170872000.0,1047.0
Infrastructure,Tier3,44536,2,Prefabricated,Standard,7,Moderate,88800000.0,1500.0
Industrial,Tier2,7848,4,Load Bearing,Standard,29,Difficult,17818000.0,510.0
Infrastructure,Tier2,27325,1,RCC,Basic,73,Difficult,44815000.0,621.0
Commercial,Tier2,15897,14,Load Bearing,Premium,9,Difficult,73687000.0,1500.0
Infrastructure,Tier3,44516,5,Prefabricated,Basic,79,Easy,60080000.0,710.0
Commercial,Tier1,39431,13,RCC,Premium,133,Difficult,274652000.0,801.0
Infrastructure,Tier1,9339,7,RCC,Basic,104,Easy,20738000.0,149.0
Infrastructure,Tier2,26957,9,Steel Frame,Basic,129,Difficult,62329000.0,385.0
Infrastructure,Tier2,31660,2,Steel Frame,Premium,10,Difficult,164885000.0,1500.0
Commercial,Tier2,16540,18,Load Bearing,Standard,166,Easy,41861000.0,255.0
Residential,Tier3,30818,15,Prefabricated,Premium,162,Difficult,132054000.0,390.0
Industrial,Tier1,34815,17,Steel Frame,Premium,70,Difficult,297283000.0,1197.0
Infrastructure,Tier1,39525,7,Load Bearing,Standard,17,Easy,118978000.0,1500.0
Industrial,Tier3,49580,13,Prefabricated,Premium,98,Easy,201213000.0,848.0
Industrial,Tier1,37534,6,Load Bearing,Premium,147,Easy,185651000.0,439.0
Commercial,Tier1,16947,5,Prefabricated,Basic,22,Difficult,41923000.0,1297.0
Commercial,Tier1,24632,11,Prefabricated,Premium,193,Easy,142081000.0,199.0
Infrastructure,Tier3,11673,16,Steel Frame,Basic,49,Difficult,27011000.0,557.0
Infrastructure,Tier2,38365,12,RCC,Basic,40,Moderate,69303000.0,1500.0
Residential,Tier1,43054,6,Prefabricated,Basic,38,Moderate,108710000.0,1500.0
Commercial,Tier3,22651,19,Load Bearing,Premium,28,Difficult,92562000.0,1500.0
Infrastructure,Tier1,14884,13,Load Bearing,Basic,93,Difficult,36306000.0,442.0
Commercial,Tier1,2405,6,Prefabricated,Basic,164,Difficult,6772000.0,30.0
Residential,Tier3,36365,16,Load Bearing,Basic,157,Difficult,54863000.0,662.0
Industrial,Tier3,4451,5,Load Bearing,Premium,168,Difficult,12590000.0,59.0
Commercial,Tier3,42045,13,Load Bearing,Basic,124,Moderate,58235000.0,815.0
Residential,Tier1,19861,14,Prefabricated,Standard,22,Easy,85882000.0,1498.0
Residential,Tier1,7092,13,RCC,Premium,156,Easy,39324000.0,93.0
Industrial,Tier1,7907,13,RCC,Basic,38,Moderate,20841000.0,476.0
Industrial,Tier1,921,4,RCC,Premium,152,Easy,4266000.0,30.0
Infrastructure,Tier2,36522,10,RCC,Premium,139,Moderate,158526000.0,536.0
Commercial,Tier1,34695,3,Load Bearing,Standard,65,Moderate,86724000.0,953.0
Residential,Tier2,1087,7,Steel Frame,Basic,65,Moderate,2348000.0,30.0
Commercial,Tier1,48611,5,Steel Frame,Premium,89,Difficult,329608000.0,1005.0
Industrial,Tier1,12307,14,Steel Frame,Basic,53,Difficult,45028000.0,526.0
Industrial,Tier1,7403,10,RCC,Standard,137,Difficult,29361000.0,118.0
Commercial,Tier2,16406,8,Steel Frame,Standard,164,Moderate,52161000.0,172.0
Industrial,Tier1,32188,6,RCC,Premium,40,Easy,160287000.0,1435.0
Residential,Tier3,8705,16,Load Bearing,Basic,27,Moderate,12335000.0,931.0
Infrastructure,Tier3,8799,8,Load Bearing,Premium,199,Easy,27274000.0,80.0
Infrastructure,Tier2,38926,6,Prefabricated,Basic,147,Difficult,86980000.0,463.0
Infrastructure,Tier2,35076,5,RCC,Premium,170,Difficult,150815000.0,373.0
Commercial,Tier1,20984,5,Steel Frame,Basic,127,Moderate,50167000.0,233.0
Infrastructure,Tier1,41677,12,Prefabricated,Basic,171,Moderate,113664000.0,474.0
Infrastructure,Tier2,16228,7,Steel Frame,Basic,161,Difficult,36195000.0,166.0
Infrastructure,Tier1,6931,3,Steel Frame,Basic,136,Difficult,19809000.0,83.0
Infrastructure,Tier3,20433,16,Prefabricated,Standard,127,Moderate,58275000.0,343.0
Industrial,Tier1,35397,1,RCC,Standard,79,Difficult,120244000.0,762.0
Infrastructure,Tier2,23585,17,Steel Frame,Basic,14,Easy,57458000.0,1500.0
Infrastructure,Tier3,34855,4,RCC,Premium,165,Difficult,110233000.0,357.0
Infrastructure,Tier1,6231,7,Load Bearing,Basic,127,Moderate,13496000.0,106.0
Residential,Tier2,36064,12,Steel Frame,Standard,81,Easy,125656000.0,790.0
Infrastructure,Tier2,22830,1,Prefabricated,Basic,198,Moderate,39471000.0,150.0
Residential,Tier2,31469,4,Load Bearing,Standard,70,Difficult,67730000.0,865.0
Commercial,Tier2,19841,20,RCC,Basic,175,Moderate,45225000.0,337.0
Infrastructure,Tier1,25760,9,Prefabricated,Premium,30,Difficult,185122000.0,1465.0
Industrial,Tier3,24721,13,RCC,Premium,108,Difficult,101766000.0,604.0
Industrial,Tier1,7128,6,Load Bearing,Standard,30,Difficult,22699000.0,501.0
Residential,Tier2,37349,7,Prefabricated,Standard,114,Moderate,110770000.0,505.0
Industrial,Tier1,30321,10,Load Bearing,Basic,135,Difficult,77759000.0,529.0
Residential,Tier1,43636,19,Steel Frame,Premium,70,Easy,303358000.0,1459.0
Commercial,Tier1,9818,5,RCC,Basic,95,Moderate,19772000.0,178.0
Commercial,Tier1,7456,12,Prefabricated,Basic,75,Difficult,21313000.0,192.0
Residential,Tier1,21683,10,RCC,Standard,139,Moderate,78924000.0,342.0
Infrastructure,Tier3,35030,7,Load Bearing,Basic,185,Moderate,45460000.0,378.0
Residential,Tier1,48137,9,Load Bearing,Standard,73,Difficult,156813000.0,1491.0
Residential,Tier2,30285,8,RCC,Basic,139,Moderate,53273000.0,439.0
Industrial,Tier2,46328,7,Prefabricated,Standard,73,Easy,128756000.0,935.0
Residential,Tier1,3534,9,RCC,Basic,57,Moderate,8218000.0,131.0
Residential,Tier1,37935,16,RCC,Standard,151,Difficult,168633000.0,657.0
Residential,Tier1,33910,18,RCC,Standard,162,Easy,129974000.0,543.0
Industrial,Tier1,14387,7,Prefabricated,Premium,184,Difficult,94339000.0,125.0
Residential,Tier1,21672,20,Prefabricated,Premium,162,Moderate,152084000.0,298.0
Commercial,Tier3,25041,4,Load Bearing,Basic,47,Moderate,29064000.0,1032.0
Infrastructure,Tier2,33248,3,Prefabricated,Premium,173,Moderate,139847000.0,245.0
Residential,Tier2,29725,17,Prefabricated,Premium,27,Difficult,186297000.0,1500.0
Residential,Tier2,44132,12,Prefabricated,Standard,48,Difficult,144771000.0,1500.0
Commercial,Tier3,24927,16,Prefabricated,Standard,138,Easy,68484000.0,346.0
Industrial,Tier2,44872,6,RCC,Premium,88,Difficult,215869000.0,1036.0
Commercial,Tier2,38322,5,Steel Frame,Basic,132,Difficult,81102000.0,462.0
Residential,Tier3,5751,2,Load Bearing,Basic,8,Difficult,7445000.0,1280.0
Infrastructure,Tier1,22043,20,Steel Frame,Premium,17,Difficult,179201000.0,1500.0
Residential,Tier1,3546,4,Steel Frame,Premium,171,Difficult,23904000.0,37.0
Residential,Tier1,14263,9,Steel Frame,Basic,124,Difficult,44312000.0,233.0
Commercial,Tier2,14008,2,Prefabricated,Premium,108,Difficult,61805000.0,189.0
Residential,Tier3,11857,11,RCC,Premium,144,Moderate,44929000.0,184.0
Residential,Tier2,42156,17,Prefabricated,Standard,118,Difficult,148077000.0,811.0
Commercial,Tier1,5753,16,Prefabricated,Standard,179,Easy,22855000.0,65.0
Infrastructure,Tier3,16178,4,RCC,Standard,105,Moderate,28614000.0,264.0
Industrial,Tier1,38049,14,RCC,Standard,19,Difficult,155700000.0,1500.0
Residential,Tier2,5177,10,Load Bearing,Basic,68,Moderate,9103000.0,186.0
Infrastructure,Tier3,19582,15,Prefabricated,Premium,92,Easy,84215000.0,383.0
Industrial,Tier1,19157,3,Steel Frame,Standard,86,Difficult,76825000.0,354.0
Infrastructure,Tier3,12399,14,Prefabricated,Standard,142,Easy,30635000.0,168.0
Infrastructure,Tier3,48875,5,Load Bearing,Standard,121,Moderate,80733000.0,784.0
Commercial,Tier3,766,1,Steel Frame,Standard,103,Moderate,1753000.0,30.0
Infrastructure,Tier1,24436,3,RCC,Standard,53,Difficult,78411000.0,863.0
Residential,Tier1,29668,18,Load Bearing,Basic,177,Moderate,70567000.0,452.0
Industrial,Tier2,29081,2,Load Bearing,Standard,193,Difficult,67875000.0,247.0
Residential,Tier1,27464,3,Steel Frame,Premium,8,Easy,138829000.0,1500.0
Residential,Tier3,24204,1,Steel Frame,Standard,80,Moderate,49462000.0,397.0
Commercial,Tier2,9361,13,Prefabricated,Premium,125,Difficult,49735000.0,159.0
Infrastructure,Tier3,10936,12,Prefabricated,Standard,101,Moderate,28356000.0,194.0
Industrial,Tier3,28327,8,Steel Frame,Premium,138,Easy,105241000.0,326.0
Industrial,Tier3,35234,19,Load Bearing,Basic,172,Difficult,57835000.0,636.0
Infrastructure,Tier2,38248,5,RCC,Basic,56,Easy,61724000.0,1024.0
Industrial,Tier1,33202,2,Steel Frame,Standard,140,Easy,113355000.0,280.0
Commercial,Tier2,1392,14,Steel Frame,Basic,193,Moderate,3437000.0,30.0
Residential,Tier1,32600,9,Load Bearing,Premium,117,Easy,155377000.0,589.0
Residential,Tier2,28628,5,Prefabricated,Premium,30,Difficult,129744000.0,1500.0
Infrastructure,Tier2,34846,18,Steel Frame,Premium,72,Difficult,238997000.0,1227.0
Industrial,Tier3,17117,4,Load Bearing,Standard,87,Moderate,28910000.0,346.0
Industrial,Tier1,49406,13,Steel Frame,Standard,122,Difficult,242042000.0,979.0
Industrial,Tier3,12528,19,Load Bearing,Standard,123,Difficult,30427000.0,318.0
Infrastructure,Tier3,18340,1,Steel Frame,Standard,48,Moderate,39069000.0,507.0
Commercial,Tier1,29053,6,Steel Frame,Basic,197,Difficult,87560000.0,241.0
Residential,Tier1,5785,16,Steel Frame,Premium,149,Moderate,45817000.0,91.0
Industrial,Tier3,45545,9,Steel Frame,Basic,198,Difficult,84572000.0,423.0
Commercial,Tier2,4065,19,Prefabricated,Standard,194,Easy,13584000.0,43.0
Commercial,Tier1,17950,4,RCC,Basic,117,Difficult,42545000.0,253.0
Industrial,Tier3,16356,14,RCC,Premium,85,Easy,57993000.0,397.0
Industrial,Tier3,22901,2,Prefabricated,Premium,21,Easy,71651000.0,1261.0
Residential,Tier3,36393,11,Prefabricated,Standard,39,Easy,82020000.0,1500.0
Infrastructure,Tier2,29043,17,Load Bearing,Premium,95,Easy,127816000.0,780.0
Infrastructure,Tier1,16154,20,Steel Frame,Basic,184,Difficult,56136000.0,244.0
Industrial,Tier3,38876,17,RCC,Standard,189,Difficult,97355000.0,620.0
Industrial,Tier2,12321,7,Load Bearing,Premium,73,Easy,44287000.0,345.0
Commercial,Tier3,17498,3,RCC,Basic,140,Easy,22192000.0,197.0
Commercial,Tier1,29050,15,Load Bearing,Premium,199,Difficult,170779000.0,418.0
Infrastructure,Tier2,14561,5,Prefabricated,Standard,53,Difficult,38657000.0,403.0
Industrial,Tier3,4958,17,Prefabricated,Premium,131,Difficult,23282000.0,98.0
Residential,Tier2,46130,12,Steel Frame,Basic,91,Easy,100494000.0,977.0
Infrastructure,Tier3,11911,8,Steel Frame,Standard,178,Difficult,35841000.0,126.0
Residential,Tier3,28712,13,Load Bearing,Premium,56,Moderate,98791000.0,1361.0
Residential,Tier3,35790,13,Prefabricated,Basic,62,Moderate,65600000.0,1074.0
Industrial,Tier2,23281,7,Prefabricated,Basic,141,Moderate,44432000.0,253.0
Industrial,Tier1,49342,16,RCC,Basic,15,Easy,135953000.0,1500.0
Residential,Tier3,10009,20,Prefabricated,Standard,159,Easy,26882000.0,137.0
Infrastructure,Tier1,31470,6,RCC,Premium,181,Easy,166384000.0,270.0
Infrastructure,Tier1,25902,7,Prefabricated,Standard,185,Easy,89349000.0,205.0
Industrial,Tier2,29096,12,Load Bearing,Basic,79,Difficult,59306000.0,1050.0
Infrastructure,Tier2,23335,12,RCC,Premium,94,Difficult,112557000.0,541.0
Commercial,Tier3,9870,12,RCC,Premium,11,Moderate,37529000.0,1500.0
Commercial,Tier1,29840,8,Steel Frame,Basic,125,Moderate,83460000.0,441.0
Industrial,Tier3,39843,3,RCC,Premium,49,Moderate,110800000.0,1165.0
Infrastructure,Tier1,2068,19,Steel Frame,Standard,176,Difficult,11824000.0,31.0
Commercial,Tier3,2111,8,Prefabricated,Basic,141,Moderate,3599000.0,30.0
Infrastructure,Tier3,4278,16,RCC,Premium,162,Difficult,16998000.0,70.0
Residential,Tier1,39587,1,Steel Frame,Basic,151,Easy,98621000.0,335.0
Industrial,Tier2,33932,7,Prefabricated,Standard,115,Moderate,94216000.0,504.0
Commercial,Tier1,38410,12,Steel Frame,Premium,32,Moderate,289955000.0,1500.0
Residential,Tier2,20853,13,Steel Frame,Premium,10,Easy,103262000.0,1500.0
Residential,Tier3,38444,17,RCC,Standard,170,Difficult,110274000.0,668.0
Residential,Tier2,19814,19,Steel Frame,Standard,197,Moderate,69836000.0,262.0
Residential,Tier3,38884,18,Prefabricated,Basic,158,Easy,74609000.0,483.0
Industrial,Tier1,11861,7,Load Bearing,Standard,174,Easy,35069000.0,136.0
Commercial,Tier2,17535,6,Prefabricated,Standard,21,Difficult,55121000.0,1404.0
Residential,Tier1,41967,17,Steel Frame,Standard,156,Moderate,193073000.0,593.0
Commercial,Tier1,14390,15,Load Bearing,Standard,141,Moderate,51288000.0,288.0
Commercial,Tier2,14679,2,Prefabricated,Standard,186,Easy,33536000.0,99.0
Commercial,Tier2,27496,9,Load Bearing,Standard,17,Moderate,63098000.0,1500.0
Industrial,Tier1,28027,11,RCC,Premium,76,Moderate,163394000.0,864.0
Infrastructure,Tier1,27050,16,Load Bearing,Standard,15,Easy,96027000.0,1500.0
Industrial,Tier2,10453,12,Load Bearing,Basic,47,Easy,16748000.0,537.0
Commercial,Tier1,32720,9,Load Bearing,Premium,71,Moderate,171360000.0,1074.0
Infrastructure,Tier3,5966,8,Steel Frame,Basic,56,Moderate,10000000.0,190.0
Residential,Tier2,37531,8,Load Bearing,Premium,65,Moderate,149223000.0,1272.0
Residential,Tier3,47948,9,Prefabricated,Standard,138,Difficult,117810000.0,628.0
Commercial,Tier2,12966,9,Load Bearing,Premium,24,Difficult,53263000.0,1182.0
Commercial,Tier2,28474,5,Prefabricated,Premium,56,Difficult,119498000.0,767.0
Industrial,Tier3,14747,3,RCC,Basic,40,Moderate,19117000.0,565.0
Infrastructure,Tier1,31628,14,Steel Frame,Standard,19,Moderate,152882000.0,1500.0
Industrial,Tier2,2383,12,Steel Frame,Premium,144,Difficult,14493000.0,37.0
Industrial,Tier1,18748,3,RCC,Basic,87,Difficult,39463000.0,351.0
Industrial,Tier3,26037,6,Load Bearing,Standard,50,Easy,45713000.0,850.0
Residential,Tier3,48342,5,Prefabricated,Standard,159,Moderate,100019000.0,484.0
Commercial,Tier3,17096,6,RCC,Premium,26,Difficult,58053000.0,1272.0
Infrastructure,Tier2,39933,8,Steel Frame,Standard,182,Easy,126368000.0,325.0
Infrastructure,Tier2,18307,14,Prefabricated,Premium,78,Easy,87413000.0,437.0
Commercial,Tier2,40337,11,Steel Frame,Standard,120,Easy,129014000.0,553.0
Residential,Tier2,23036,6,Prefabricated,Basic,26,Moderate,46700000.0,1314.0
Infrastructure,Tier2,15847,12,Load Bearing,Premium,39,Moderate,68961000.0,977.0
Commercial,Tier1,38587,6,Steel Frame,Premium,95,Difficult,289035000.0,740.0
Residential,Tier2,34188,9,Steel Frame,Premium,86,Easy,165981000.0,598.0
Infrastructure,Tier3,27391,14,Prefabricated,Standard,162,Easy,65544000.0,311.0
Residential,Tier2,24682,14,RCC,Basic,184,Easy,49840000.0,259.0
Commercial,Tier3,30665,8,Prefabricated,Basic,189,Easy,45370000.0,239.0
Infrastructure,Tier2,17395,6,Steel Frame,Premium,164,Moderate,80216000.0,161.0
Industrial,Tier3,2189,6,RCC,Premium,13,Easy,7091000.0,270.0
Commercial,Tier2,17544,1,RCC,Premium,137,Easy,63024000.0,158.0
Infrastructure,Tier3,10839,5,Load Bearing,Premium,162,Easy,28839000.0,118.0
Infrastructure,Tier1,30172,20,Prefabricated,Standard,21,Easy,137606000.0,1500.0
Commercial,Tier3,21096,13,Steel Frame,Standard,127,Difficult,60296000.0,365.0
Commercial,Tier2,44469,18,Load Bearing,Standard,9,Easy,127471000.0,1500.0
Industrial,Tier1,46154,8,Prefabricated,Premium,126,Moderate,283404000.0,561.0
Industrial,Tier2,14529,10,Load Bearing,Standard,132,Difficult,36633000.0,269.0
Industrial,Tier3,16412,7,RCC,Standard,171,Easy,33202000.0,167.0
Infrastructure,Tier1,34036,4,Load Bearing,Premium,61,Easy,132298000.0,834.0
Commercial,Tier2,23475,5,Prefabricated,Premium,137,Moderate,96449000.0,231.0
Infrastructure,Tier3,8227,17,RCC,Standard,85,Difficult,22357000.0,270.0
Industrial,Tier2,36459,11,Steel Frame,Basic,155,Difficult,95749000.0,446.0
Residential,Tier3,23854,10,RCC,Basic,93,Difficult,37660000.0,524.0
Residential,Tier1,18493,3,Load Bearing,Premium,149,Easy,71453000.0,183.0
Industrial,Tier3,10161,7,Steel Frame,Standard,90,Difficult,26165000.0,211.0
Infrastructure,Tier3,30717,3,RCC,Basic,34,Easy,38499000.0,1216.0
Industrial,Tier2,44950,2,Steel Frame,Basic,68,Difficult,88354000.0,1040.0
Infrastructure,Tier3,48554,15,RCC,Basic,114,Moderate,80449000.0,1077.0
Commercial,Tier3,529,6,Load Bearing,Standard,39,Easy,867000.0,30.0
Residential,Tier2,40114,5,Load Bearing,Premium,98,Easy,121562000.0,684.0
Commercial,Tier3,14252,17,RCC,Standard,23,Difficult,41100000.0,1500.0
Infrastructure,Tier2,30190,1,Steel Frame,Premium,146,Difficult,138931000.0,271.0
Industrial,Tier3,20117,15,Prefabricated,Premium,70,Difficult,91421000.0,692.0
Infrastructure,Tier1,10404,1,Prefabricated,Basic,39,Difficult,27500000.0,343.0
Infrastructure,Tier1,32912,5,RCC,Standard,62,Easy,92566000.0,812.0
Industrial,Tier1,31215,9,Steel Frame,Basic,154,Difficult,105657000.0,361.0
Industrial,Tier1,37033,19,Load Bearing,Standard,162,Moderate,130818000.0,679.0
Commercial,Tier1,45392,4,Steel Frame,Basic,144,Moderate,115516000.0,500.0
Commercial,Tier3,25344,15,Prefabricated,Standard,174,Difficult,69543000.0,323.0
Residential,Tier3,46933,15,RCC,Premium,147,Easy,173588000.0,743.0
Industrial,Tier3,42067,1,Steel Frame,Basic,14,Difficult,70278000.0,1500.0
Infrastructure,Tier3,18451,7,Steel Frame,Standard,30,Easy,45242000.0,852.0
Industrial,Tier2,49103,6,Load Bearing,Premium,23,Moderate,173385000.0,1500.0
Residential,Tier1,17980,18,Steel Frame,Standard,148,Difficult,91666000.0,325.0
Commercial,Tier3,35158,13,Steel Frame,Standard,75,Easy,93723000.0,801.0
Commercial,Tier2,48421,16,Load Bearing,Standard,101,Moderate,142575000.0,1181.0
Commercial,Tier3,28794,17,Prefabricated,Premium,50,Moderate,123095000.0,1192.0
Commercial,Tier1,45872,10,Load Bearing,Standard,97,Difficult,150970000.0,1170.0
Residential,Tier2,735,19,Prefabricated,Premium,167,Easy,3883000.0,30.0
Industrial,Tier1,45937,19,Steel Frame,Premium,128,Moderate,351784000.0,913.0
Infrastructure,Tier2,28733,1,Load Bearing,Standard,171,Difficult,65719000.0,299.0
Infrastructure,Tier2,20710,14,Load Bearing,Basic,181,Easy,35194000.0,283.0
Industrial,Tier1,14426,13,Prefabricated,Basic,155,Easy,38607000.0,152.0
Residential,Tier1,37423,11,Prefabricated,Standard,35,Moderate,151032000.0,1500.0
Infrastructure,Tier1,35611,17,Prefabricated,Premium,24,Difficult,280305000.0,1500.0
Infrastructure,Tier3,2765,19,Load Bearing,Basic,159,Moderate,4493000.0,48.0
Commercial,Tier3,983,17,Load Bearing,Premium,189,Easy,3389000.0,30.0
Infrastructure,Tier1,30542,11,Load Bearing,Basic,182,Difficult,72695000.0,467.0
Commercial,Tier1,34133,10,Prefabricated,Standard,128,Moderate,140791000.0,513.0
Industrial,Tier3,49715,4,RCC,Standard,120,Difficult,106103000.0,686.0
Infrastructure,Tier1,6733,4,Steel Frame,Standard,189,Easy,23219000.0,48.0
Commercial,Tier3,8935,16,Steel Frame,Basic,174,Moderate,18907000.0,115.0
Infrastructure,Tier1,24939,12,RCC,Basic,36,Moderate,58868000.0,1500.0
Commercial,Tier1,45279,20,Prefabricated,Premium,125,Difficult,361560000.0,888.0
Industrial,Tier3,46191,18,Steel Frame,Premium,17,Moderate,238585000.0,1500.0
Industrial,Tier1,32682,8,Prefabricated,Premium,185,Moderate,198440000.0,275.0
Residential,Tier3,10998,4,Steel Frame,Standard,132,Difficult,27569000.0,126.0
Commercial,Tier3,3290,15,RCC,Premium,155,Difficult,14279000.0,59.0
Residential,Tier2,46041,3,Prefabricated,Basic,8,Difficult,92231000.0,1500.0
Commercial,Tier2,11249,2,Load Bearing,Standard,165,Difficult,26113000.0,128.0
Infrastructure,Tier1,41066,5,Load Bearing,Premium,79,Difficult,192616000.0,970.0
Residential,Tier1,45936,19,Load Bearing,Standard,32,Easy,159818000.0,1500.0
Infrastructure,Tier3,11995,9,RCC,Basic,107,Moderate,18244000.0,237.0
Infrastructure,Tier1,42512,19,Steel Frame,Basic,100,Easy,140964000.0,956.0
Residential,Tier3,22599,8,RCC,Standard,155,Easy,45283000.0,249.0
Residential,Tier3,48749,18,Load Bearing,Basic,31,Easy,73555000.0,1500.0
Infrastructure,Tier2,11741,10,RCC,Standard,68,Easy,30400000.0,312.0
Industrial,Tier1,26910,10,Steel Frame,Premium,19,Difficult,209613000.0,1500.0
Residential,Tier3,47431,14,Load Bearing,Premium,57,Moderate,154739000.0,1500.0
Commercial,Tier2,41735,13,Load Bearing,Premium,80,Difficult,188165000.0,1489.0
Infrastructure,Tier2,47869,11,Steel Frame,Premium,124,Difficult,304381000.0,885.0
Infrastructure,Tier1,20526,3,Prefabricated,Basic,74,Moderate,48530000.0,405.0
Infrastructure,Tier3,5143,7,Load Bearing,Basic,127,Moderate,6238000.0,90.0
Industrial,Tier1,22317,18,RCC,Standard,81,Easy,92621000.0,664.0
Infrastructure,Tier2,37409,8,Load Bearing,Premium,180,Easy,139956000.0,426.0
Residential,Tier1,49958,20,Steel Frame,Premium,6,Difficult,430006000.0,1500.0
Industrial,Tier1,11651,9,RCC,Standard,122,Moderate,39378000.0,196.0
Infrastructure,Tier3,24961,9,Prefabricated,Standard,35,Moderate,59001000.0,1170.0
Industrial,Tier3,40653,10,Prefabricated,Premium,122,Difficult,167636000.0,648.0
Commercial,Tier2,3986,17,Load Bearing,Basic,28,Difficult,7696000.0,438.0
Infrastructure,Tier1,19015,19,Steel Frame,Standard,70,Difficult,100785000.0,684.0
Industrial,Tier1,12008,10,Steel Frame,Premium,27,Easy,84121000.0,771.0
Industrial,Tier3,44696,19,Steel Frame,Basic,143,Difficult,100385000.0,879.0
Industrial,Tier1,43301,14,Steel Frame,Basic,82,Moderate,142689000.0,1159.0
Infrastructure,Tier1,9109,4,Prefabricated,Standard,17,Moderate,29118000.0,685.0
Commercial,Tier2,4781,2,Steel Frame,Basic,24,Easy,8140000.0,266.0
Residential,Tier2,15539,10,Load Bearing,Premium,21,Moderate,62042000.0,1500.0
Residential,Tier2,38706,17,Steel Frame,Standard,184,Moderate,146091000.0,483.0
Industrial,Tier1,15030,17,Load Bearing,Premium,142,Difficult,102319000.0,311.0
Infrastructure,Tier3,6224,11,RCC,Premium,194,Moderate,21901000.0,64.0
Commercial,Tier1,31022,4,Prefabricated,Standard,31,Difficult,118419000.0,1476.0
Infrastructure,Tier2,30010,15,RCC,Basic,192,Difficult,63241000.0,385.0
Commercial,Tier2,8130,18,RCC,Standard,52,Difficult,29787000.0,478.0
Residential,Tier3,6261,17,RCC,Standard,146,Easy,13894000.0,93.0
Infrastructure,Tier1,15533,16,Prefabricated,Basic,8,Difficult,47663000.0,1500.0
Residential,Tier3,32238,19,Prefabricated,Basic,31,Moderate,65603000.0,1500.0
Industrial,Tier1,45851,5,RCC,Standard,195,Easy,137507000.0,401.0
Infrastructure,Tier2,26059,6,RCC,Standard,198,Difficult,74250000.0,252.0
Industrial,Tier1,38643,18,Load Bearing,Standard,115,Easy,124461000.0,897.0
Residential,Tier2,9297,3,RCC,Basic,42,Easy,13666000.0,342.0
Residential,Tier3,25870,10,RCC,Basic,181,Moderate,38833000.0,283.0
Residential,Tier3,46901,3,Load Bearing,Premium,81,Easy,113181000.0,927.0
Industrial,Tier2,41780,16,Prefabricated,Standard,97,Moderate,142603000.0,927.0
Residential,Tier2,28187,12,Load Bearing,Premium,176,Easy,118418000.0,328.0
Residential,Tier1,30033,12,Load Bearing,Basic,57,Moderate,63614000.0,1155.0
Industrial,Tier3,8484,3,Load Bearing,Premium,88,Difficult,25718000.0,186.0
Industrial,Tier2,23005,18,Load Bearing,Premium,98,Easy,95458000.0,666.0
Commercial,Tier2,40111,17,Load Bearing,Standard,147,Difficult,113558000.0,765.0
Residential,Tier2,4574,14,Load Bearing,Standard,40,Easy,10774000.0,250.0
Infrastructure,Tier1,33244,15,Steel Frame,Premium,178,Moderate,257296000.0,408.0
Industrial,Tier2,22261,16,Prefabricated,Premium,131,Easy,109447000.0,295.0
